n_clusters,rho_min,misses_count,misses_over_total_edges,misses_over_total_high_corr
3,0.0,30904,0.427080886112685,0.6565122256920103
3,0.05,25606,0.3538646508478324,0.6564126227280884
3,0.1,22198,0.3067674576083802,0.6535936165827518
3,0.15000000000000002,19708,0.2723566562098368,0.6536433285794833
3,0.2,17160,0.23714431807188954,0.6517033154836505
3,0.25,14928,0.20629897320379761,0.6493540388881639
3,0.30000000000000004,13406,0.18526554359392491,0.6491066673122549
3,0.35000000000000003,12044,0.16644324981689032,0.6502888612925868
3,0.4,10592,0.14637719213388428,0.6481855455602472
3,0.45,9116,0.1259794640759525,0.6508174484186479
3,0.5,7456,0.1030389298102569,0.6489685786404387
3,0.55,5752,0.07949033319053081,0.6393242191841725
3,0.6000000000000001,4368,0.06036400823648098,0.6353454545454545
3,0.65,3202,0.044250355854673094,0.6334322453016815
3,0.7000000000000001,2230,0.030817705670181453,0.6301215032495056
3,0.75,1342,0.018545901797929823,0.5983058403923317
3,0.8,726,0.01003302884150302,0.5446361590397599
3,0.8500000000000001,316,0.004366993269855309,0.42302543507362783
3,0.9,106,0.0014648774892552618,0.24480369515011546
3,0.9500000000000001,18,0.00024875278119428974,0.061016949152542375
4,0.0,34930,0.4827185915064745,0.7420389607630701
4,0.05,28962,0.4002432249416122,0.7424440513727601
4,0.1,25108,0.3469824905681237,0.7392750934840856
4,0.15000000000000002,22266,0.3077071903373364,0.7384829690557527
4,0.2,19364,0.2676027141692348,0.7354069347916904
4,0.25,16840,0.2327220464062133,0.7325242507286094
4,0.30000000000000004,15128,0.2090628929948453,0.7324843848351329
4,0.35000000000000003,13542,0.1871450090518373,0.731170023216889
4,0.4,11868,0.16401100040076838,0.726271342023132
4,0.45,10138,0.14010309420820607,0.7237809666595274
4,0.5,8258,0.11412224817235804,0.7187744799373313
4,0.55,6414,0.08863890769889858,0.7129043014338112
4,0.6000000000000001,4844,0.06694213733917442,0.7045818181818182
4,0.65,3498,0.04834095714542364,0.6919881305637983
4,0.7000000000000001,2324,0.03211674797197386,0.6566826787228031
4,0.75,1390,0.019209242547781263,0.6197057512260365
4,0.8,756,0.01044761681016017,0.5671417854463616
4,0.8500000000000001,350,0.004836859634333412,0.4685408299866131
4,0.9,128,0.0017689086662705047,0.2956120092378753
4,0.9500000000000001,18,0.00024875278119428974,0.061016949152542375
5,0.0,36858,0.5093627782921739,0.7829966222675419
5,0.05,30460,0.4209449841765592,0.7808454459227357
5,0.1,26470,0.3658047843451583,0.7793775579306893
5,0.15000000000000002,23554,0.3255068337916834,0.7812012868561573
5,0.2,20526,0.28366108815522173,0.7795374273669818
5,0.25,17948,0.24803416204861736,0.7807212144938884
5,0.30000000000000004,16102,0.2225231823772474,0.7796446036895366
5,0.35000000000000003,14384,0.198781111372148,0.776631931321203
5,0.4,12676,0.17517723635660093,0.7757175203475919
5,0.45,10832,0.14969389588314147,0.773327621903334
5,0.5,8836,0.12210997636848579,0.7690834711463138
5,0.55,6888,0.09518939760368154,0.7655885295098366
5,0.6000000000000001,5220,0.07213830654634402,0.7592727272727273
5,0.65,3812,0.05268031121736847,0.7541048466864491
5,0.7000000000000001,2586,0.03573748289824629,0.7307148912122068
5,0.75,1540,0.021282182391067012,0.6865804725813642
5,0.8,820,0.011332071143295422,0.6151537884471118
5,0.8500000000000001,384,0.005306725998811514,0.5140562248995983
5,0.9,140,0.0019347438537333647,0.3233256351039261
5,0.9500000000000001,22,0.00030403117701524303,0.07457627118644068
6,0.0,37278,0.515167009853374,0.7919189344210057
6,0.05,31030,0.42882215558104503,0.7954574585352098
6,0.1,26940,0.3722999958541203,0.793216146983482
6,0.15000000000000002,23874,0.32992910545735965,0.7918145335146429
6,0.2,20780,0.2871712662898523,0.7891838517336979
6,0.25,18102,0.25016238028772403,0.787420070468485
6,0.30000000000000004,16212,0.22404333826232362,0.7849707064349005
6,0.35000000000000003,14496,0.20032890645513468,0.7826791209977862
6,0.4,12762,0.17636572186675142,0.7809803561593538
6,0.45,10894,0.15055071101836626,0.7777539801527807
6,0.5,8928,0.12338137947236771,0.7770911306467055
6,0.55,6972,0.09635024391592156,0.7749249749916639
6,0.6000000000000001,5278,0.07293984328574785,0.7677090909090909
6,0.65,3822,0.052818507206920856,0.7560830860534125
6,0.7000000000000001,2650,0.036621937231381546,0.7487990957897711
6,0.75,1586,0.021917883943007973,0.7070887204636648
6,0.8,856,0.011829576705684,0.6421605401350338
6,0.8500000000000001,386,0.005334365196721991,0.5167336010709505
6,0.9,138,0.001907104655822888,0.3187066974595843
6,0.9500000000000001,18,0.00024875278119428974,0.061016949152542375
7,0.0,37446,0.5174887024778541,0.7954878592823912
7,0.05,30914,0.4272190821022374,0.7924837857930221
7,0.1,26852,0.37108387114605934,0.7906250920118953
7,0.15000000000000002,23876,0.3299567446552701,0.7918808663062585
7,0.2,20830,0.2878622462376142,0.7910827541680908
7,0.25,18182,0.2512679482041431,0.7908999956500935
7,0.30000000000000004,16368,0.2261991956993408,0.7925240885101438
7,0.35000000000000003,14696,0.20309282624618233,0.7934776739916851
7,0.4,12958,0.17907436326197815,0.7929747261489505
7,0.45,11132,0.15383977556971296,0.7947454844006568
7,0.5,9130,0.12617293846132585,0.794673165636696
7,0.55,7118,0.09836790536338635,0.7911526064243637
7,0.6000000000000001,5402,0.0746534735561974,0.7857454545454545
7,0.65,3924,0.05422810630035516,0.7762611275964392
7,0.7000000000000001,2688,0.037147081991680604,0.7595365922576999
7,0.75,1650,0.022802338276143225,0.7356219349086045
7,0.8,896,0.012382360663893534,0.6721680420105026
7,0.8500000000000001,402,0.005555478780005804,0.5381526104417671
7,0.9,138,0.001907104655822888,0.3187066974595843
7,0.9500000000000001,24,0.00033167037492571965,0.08135593220338982
8,0.0,40146,0.5548016196569976,0.852845580268944
8,0.05,33300,0.46019264520943604,0.8536491578866415
8,0.1,28974,0.40040906012907507,0.8531048493949298
8,0.15000000000000002,25772,0.35615870427440194,0.8547643527577858
8,0.2,22482,0.3106922237116679,0.8538224906004329
8,0.25,19638,0.2713892842829701,0.8542346339553699
8,0.30000000000000004,17624,0.24355661198712014,0.8533384980390258
8,0.35000000000000003,15794,0.218266745899034,0.8527617299281897
8,0.4,13890,0.19195422948826024,0.8500091793647879
8,0.45,11866,0.1639833612028579,0.8471478546441065
8,0.5,9666,0.1335802435013336,0.8413264862041954
8,0.55,7550,0.1043379721120493,0.8391686117594754
8,0.6000000000000001,5708,0.07888227083650033,0.8302545454545455
8,0.65,4126,0.05701966528931331,0.8162215628090999
