date,index
2023-01-03,-0.02077536286380388
2023-01-04,0.011212871762379173
2023-01-05,0.020734045987050642
2023-01-06,0.01225841254487614
2023-01-09,0.003592561284869067
2023-01-10,0.01542658866397506
2023-01-11,0.007672749567224413
2023-01-12,0.0010200155686586054
2023-01-13,-0.008589790573576339
2023-01-16,-0.015353961556493156
2023-01-17,0.020382188933551815
2023-01-18,0.009090174893888081
2023-01-19,0.004926546437591162
2023-01-20,-0.006238606799638946
2023-01-23,-0.005271547003143362
2023-01-24,0.011807464036022175
2023-01-25,0.010324875252149868
2023-01-26,-0.000753097771356015
2023-01-27,-0.014083025878765087
2023-01-30,-0.005457680752342209
2023-01-31,0.014693264693264707
2023-02-01,-0.010825141810238526
2023-02-02,-0.02108581248942598
2023-02-03,-0.013144130622640637
2023-02-06,-0.000313392939441437
2023-02-07,-0.004942096333997226
2023-02-08,0.018180133432172063
2023-02-09,-0.019102309750459567
2023-02-10,0.003404989655140467
2023-02-13,0.00643550624133149
2023-02-14,-0.01090531576723075
2023-02-15,0.016561550822504323
2023-02-16,0.004230551342263578
2023-02-17,-0.0054774578044675115
2023-02-22,-0.019679240277028054
2023-02-23,0.005300880991488732
2023-02-24,-0.017146305235796522
2023-02-27,-0.0015301351619393389
2023-02-28,-0.007369147960004208
2023-03-01,-0.00521289978271644
2023-03-02,-0.010145135795372906
2023-03-03,0.005226177341617788
2023-03-06,0.00802957656981107
2023-03-07,-0.004508118433619868
2023-03-08,0.02218213915646472
2023-03-09,-0.013788248545147375
2023-03-10,-0.013828744372852642
2023-03-13,-0.004796463934837569
2023-03-14,-0.0018327983630880285
2023-03-15,-0.0024967939999223088
2023-03-16,0.007401996591185789
2023-03-17,-0.014047469425242931
2023-03-20,-0.010384185444490157
2023-03-21,0.0007431408103206749
2023-03-22,-0.0076932216479533855
2023-03-23,-0.022899392342922154
2023-03-24,0.009221248697996343
2023-03-27,0.008509647977820167
2023-03-28,0.015200160529748263
2023-03-29,0.006008795770124031
2023-03-30,0.018861807786390017
2023-03-31,-0.01765448882975129
2023-04-03,-0.0036905439626234715
2023-04-04,0.0035761432821705963
2023-04-05,-0.008746527402840876
2023-04-06,-0.0015448909663491328
2023-04-10,0.010166431929539144
2023-04-11,0.04287804255402716
2023-04-12,0.00636450938670996
2023-04-13,-0.004041538029750158
2023-04-14,-0.0016814142666591314
2023-04-17,-0.0024746186923099156
2023-04-18,0.001386583157259258
2023-04-19,-0.02119382459048824
2023-04-20,0.004369039484953818
2023-04-24,-0.004024260542125346
2023-04-25,-0.0069939488393123694
2023-04-26,-0.008796744816895963
2023-04-27,0.005971929001485687
2023-04-28,0.014661445935310935
2023-05-02,-0.023986900566876024
2023-05-03,-0.0012754226063751428
2023-05-04,0.0037034490210909876
2023-05-05,0.029107209270460288
2023-05-08,0.008502301517860467
2023-05-09,0.010109202014296326
2023-05-10,0.0031181731613048047
2023-05-11,0.007519916610825739
2023-05-12,0.0019213715637007578
2023-05-15,0.005209101637409619
2023-05-16,-0.007658512872721901
2023-05-17,0.011701203393903459
2023-05-18,0.005919970765576377
2023-05-19,0.005785229047843954
2023-05-22,-0.004803828615287387
2023-05-23,-0.0025768285048043404
2023-05-24,-0.010270265353091501
2023-05-25,0.0115257352941176
2023-05-26,0.007741654097079609
2023-05-29,-0.005166537428092255
2023-05-30,-0.012380702056501658
2023-05-31,-0.005799921077023318
2023-06-01,0.02058429870309686
2023-06-02,0.018025595803373484
2023-06-05,0.0012260345777288517
2023-06-06,0.0169837438773337
2023-06-07,0.007660762586161773
2023-06-09,0.013256788584095291
2023-06-12,0.0027089617925293297
2023-06-13,-0.0050538624122179465
2023-06-14,0.019924106798694607
2023-06-15,0.0012765707278972194
2023-06-16,-0.003883544006508921
2023-06-19,0.009262533892453462
2023-06-20,-0.001968996646031118
2023-06-21,0.0066710136931333874
2023-06-22,-0.012340142833416334
2023-06-23,0.00036154505860386266
2023-06-26,-0.006169259604797528
2023-06-27,-0.006089155383405376
2023-06-28,-0.007164555023272068
2023-06-29,0.014586779338538358
2023-06-30,-0.002500359004248942
2023-07-03,0.013430775614589274
2023-07-04,-0.004988593918427764
2023-07-05,0.003972253014881355
2023-07-06,-0.01775840868597811
2023-07-07,0.012535554306541963
2023-07-10,-0.0080405053070699
2023-07-11,-0.0061216530158891835
2023-07-12,0.0038048114656201726
2023-07-13,0.013580813489028287
2023-07-14,-0.013021532063321684
2023-07-17,0.004315654441810812
2023-07-18,-0.003197455569747709
2023-07-19,-0.0024524571244304294
2023-07-20,0.004517149857084624
2023-07-21,0.018072034077724952
2023-07-24,0.009358077476563142
2023-07-25,0.005488618944800683
2023-07-26,0.0045242934889515585
2023-07-27,-0.020969321148825104
2023-07-28,0.0016418034836236384
2023-07-31,0.014610565202559433
2023-08-01,-0.005699384138490915
2023-08-02,-0.0032083003430984913
2023-08-03,-0.002258830538064971
2023-08-04,-0.00893967790622463
2023-08-07,-0.001071058004485037
2023-08-08,-0.0024292176243927432
2023-08-09,-0.005718364262322639
2023-08-10,-0.0004982729353343318
2023-08-11,-0.0024081115335867764
2023-08-14,-0.010629737856265642
2023-08-15,-0.005470422052906376
2023-08-16,-0.00498403215948906
2023-08-17,-0.005277181811890075
2023-08-18,0.00371362474126391
2023-08-21,-0.008491538788136133
2023-08-22,0.015092327993777799
2023-08-23,0.017037432418471665
2023-08-24,-0.009387565073856186
2023-08-25,-0.010160135354536637
2023-08-28,0.011084541208767451
2023-08-29,0.010954482970602974
2023-08-30,-0.0073392790784094775
2023-08-31,-0.015255030416471693
