date,market_index
2010-01-04,
2010-01-05,0.16905208084604786
2010-01-06,0.4504485621577939
2010-01-07,-0.28318585405867797
2010-01-08,-0.1981878238679774
2010-01-11,0.14450562844715936
2010-01-12,-0.3598440472016788
2010-01-13,0.27853973243535
2010-01-14,-0.5772990760915665
2010-01-15,-0.8125935525446892
2010-01-18,0.3945820760202326
2010-01-19,0.47455658699049175
2010-01-20,-1.6649759878511539
2010-01-21,-1.9244917017362446
2010-01-22,-0.0692715554040552
2010-01-26,-0.7263650914656258
2010-01-27,-0.4851286260027458
2010-01-28,0.5177218304167698
2010-01-29,-0.2094602796375578
2010-02-01,1.1864521761403595
2010-02-02,0.5794812793524273
2010-02-03,-0.07260721816066011
2010-02-04,-3.2050095272004806
2010-02-05,-1.2520802538887432
2010-02-08,0.40006881057500887
2010-02-09,1.650632253302292
2010-02-10,0.32810510198590725
2010-02-11,1.0976975693295061
2010-02-12,-0.29752679919733754
2010-02-17,1.4440790807761523
2010-02-18,0.5331045587667467
2010-02-19,-0.2557534012505262
2010-02-22,-0.429964953072991
2010-02-23,-1.0971647638907618
2010-02-24,-0.33735007151676
2010-02-25,0.31526648026579385
2010-02-26,0.3706647422778619
2010-03-01,0.7158148541302655
2010-03-02,0.5335722039861284
2010-03-03,-0.15558740297038667
2010-03-04,0.1548055026988623
2010-03-05,1.0065187341627273
2010-03-08,-0.2845527315539082
2010-03-09,0.964711516955504
2010-03-10,0.3716710070876017
2010-03-11,-0.10892718386493003
2010-03-12,-0.5427464940427373
2010-03-15,-0.32636699959126525
2010-03-16,0.877325095394792
2010-03-17,-0.22934842587138676
2010-03-18,-0.04357056900708963
2010-03-19,-0.8572652929336048
2010-03-22,0.18997881281852103
2010-03-23,0.3181070745413665
2010-03-24,-0.4785611383644825
2010-03-25,-0.47879376412356867
2010-03-26,0.21871196384334182
2010-03-29,1.2132285345127385
2010-03-30,0.001769332994617527
2010-03-31,0.37819432122770535
2010-04-01,0.7127722967377791
2010-04-05,0.1273565643154422
2010-04-06,-0.20174123924832402
2010-04-07,-0.30550320676408765
2010-04-08,0.9253454657998534
2010-04-09,-0.3637352034588692
2010-04-12,-0.7757620713224881
2010-04-13,0.1513261880947701
2010-04-14,0.21274188033641364
2010-04-15,-0.5029690183046126
2010-04-16,-1.0718633687262002
2010-04-19,-0.3318334495347163
2010-04-20,0.1959906247860236
2010-04-22,0.04761833522567776
2010-04-23,0.10094228051579514
2010-04-26,-0.6356982730463114
2010-04-27,-2.3273896764776847
2010-04-28,0.1283818971632808
2010-04-29,1.3173742209459502
2010-04-30,-0.4623368650116016
2010-05-03,-0.42837846908226884
2010-05-04,-2.2763065872127335
2010-05-05,0.028269069245863032
2010-05-06,-1.5748189930753482
2010-05-07,-0.5951851005107155
2010-05-10,2.74762335510488
2010-05-11,-1.076299293309295
2010-05-12,0.8168618233248741
2010-05-13,-0.46868749984641694
2010-05-14,-1.448936116397852
2010-05-17,-0.5983897491879948
2010-05-18,-2.1879944139973
2010-05-19,-1.2937609236665906
2010-05-20,-1.7076733883118984
2010-05-21,2.3739561590986265
2010-05-24,-0.4029530856689545
2010-05-25,-0.8402053848786292
2010-05-26,1.1264051509579582
2010-05-27,2.1099036481187445
2010-05-28,-0.17574054428848032
2010-05-31,1.1775449641614912
2010-06-01,-1.3068265488321582
2010-06-02,1.1817732657443565
2010-06-04,-1.3742294111491993
2010-06-07,-0.5568346269459924
2010-06-08,0.7224170674233023
2010-06-09,-0.4289588458545989
2010-06-10,1.701557236268531
2010-06-11,0.5755028421191104
2010-06-14,-0.09469721954276168
2010-06-15,0.9452039188908796
2010-06-16,0.30450516130438404
2010-06-17,-0.2368938296733698
2010-06-18,-0.1259422736125788
2010-06-21,0.39023497173405836
2010-06-22,-0.03715512659142019
2010-06-23,0.3442354165996147
2010-06-24,-1.282619588124309
2010-06-25,0.9159393430259135
2010-06-28,-0.6408254646190342
2010-06-29,-2.3749000462647856
2010-06-30,-1.1508250418554868
2010-07-01,0.31313908179369615
2010-07-02,0.19492558888059155
2010-07-05,-0.6379330292838068
2010-07-06,1.309466350367869
2010-07-07,1.3044104706641497
2010-07-08,0.1858915768761625
2010-07-12,-0.565972566731183
2010-07-13,0.758204763916213
2010-07-14,-0.23737397317187928
2010-07-15,-0.007843944063027375
2010-07-16,-1.2384486881758878
2010-07-19,1.01660250777691
2010-07-20,1.2222661182371422
2010-07-21,-0.003826563440978744
2010-07-22,1.3092434924862768
2010-07-23,0.5705843858366249
2010-07-26,0.10340977883241592
2010-07-27,0.21571033666714665
2010-07-28,0.11691085995349024
2010-07-29,0.12873728724647238
2010-07-30,0.545890925087621
2010-08-02,0.9811450349330155
2010-08-03,-0.5296220725245486
2010-08-04,0.2539421818457252
2010-08-05,0.11966170912879842
2010-08-06,-0.3305482972116433
2010-08-09,-0.2489161897453438
2010-08-10,-0.6526636935411247
2010-08-11,-1.4542306044501816
2010-08-12,0.16172768396432194
2010-08-13,0.28581256507741376
2010-08-16,0.4267455316498966
2010-08-17,0.8721570798321476
2010-08-18,0.035361359065806425
2010-08-19,-0.7662925087310181
2010-08-20,-0.22991808078956597
2010-08-23,-0.720502972759878
2010-08-24,-0.8616202214714156
2010-08-25,-0.3833583963607607
2010-08-26,-0.9912893583134095
2010-08-27,1.7933243785060689
2010-08-30,-1.3781506849441454
2010-08-31,0.9080838280413802
2010-09-01,1.9748997459817317
2010-09-02,-0.284561468357301
2010-09-03,-0.14850707005671218
2010-09-06,0.05023333522963363
2010-09-08,-0.3615423657057922
